"18395,""50"",""ferrieres-50"",""FERRIERES"",""ferrieres"",""Ferri̬res"",""F620"",""FRRS"",""50640"",""179"",""50179"",""1"",""44"",""6"",""57"",""66"",""100"",""16"",""3.51"",""-0.9575"",""48.5439"",""-3660"",""53938"",""-05727"",""483238"",""109"",""234"""
"18396,""50"",""saint-joseph-50"",""SAINT-JOSEPH"",""saint joseph"",""Saint-Joseph"",""S5321"",""SNTJSF"",""50700"",""498"",""50498"",""2"",""47"",""6"",""805"",""734"",""800"",""82"",""9.78"",""-1.53333"",""49.5333"",""-4292"",""55036"",""-13136"",""493158"",""32"",""122"""
"18397,""50"",""carnet"",""CARNET"",""carnet"",""Carnet"",""C653"",""KRNT"",""50240"",""100"",""50100"",""1"",""33"",""6"",""476"",""433"",""500"",""46"",""10.18"",""-1.35"",""48.5167"",""-4104"",""53900"",""-12126"",""483036"",""40"",""138"""
"18398,""50"",""saint-martin-de-varreville"",""SAINT-MARTIN-DE-VARREVILLE"",""saint martin de varreville"",""Saint-Martin-de-Varreville"",""S53563531614"",""SNTMRTNTFRFL"",""50480"",""517"",""50517"",""2"",""37"",""6"",""217"",""155"",""200"",""25"",""8.36"",""-1.23333"",""49.4333"",""-3971"",""54918"",""-11414"",""492535"",""0"",""41"""
"18399,""50"",""teurtheville-bocage"",""TEURTHEVILLE-BOCAGE"",""teurtheville bocage"",""Teurth̩ville-Bocage"",""T631412"",""TR0FLBKJ"",""50630"",""593"",""50593"",""2"",""30"",""6"",""615"",""537"",""600"",""28"",""21.47"",""-1.38333"",""49.5833"",""-4147"",""55102"",""-12346"",""493531"",""32"",""116"""
"18400,""50"",""aucey-la-plaine"",""AUCEY-LA-PLAINE"",""aucey la plaine"",""Aucey-la-Plaine"",""A24145"",""ASLPLN"",""50170"",""019"",""50019"",""1"",""29"",""6"",""456"",""363"",""500"",""48"",""9.39"",""-1.48333"",""48.5333"",""-4238"",""53919"",""-12841"",""483138"",""5"",""61"""
"18401,""50"",""huberville"",""HUBERVILLE"",""huberville"",""Huberville"",""H1614"",""HBRFL"",""50700"",""251"",""50251"",""2"",""47"",""6"",""354"",""282"",""300"",""61"",""5.76"",""-1.41667"",""49.5167"",""-4193"",""55011"",""-12615"",""493037"",""29"",""118"""
"18402,""50"",""liesville-sur-douve"",""LIESVILLE-SUR-DOUVE"",""liesville sur douve"",""Liesville-sur-Douve"",""L2142631"",""LSFLSRTF"",""50480"",""269"",""50269"",""2"",""37"",""6"",""224"",""153"",""200"",""42"",""5.24"",""-1.33333"",""49.35"",""-4064"",""54837"",""-11916"",""492113"",""2"",""18"""
"18403,""50"",""berigny"",""BERIGNY"",""berigny"",""B̩rigny"",""B625"",""BRKN"",""50810"",""046"",""50046"",""4"",""31"",""6"",""387"",""366"",""400"",""31"",""12.15"",""-0.933333"",""49.15"",""-3641"",""54603"",""-05627"",""490834"",""73"",""159"""
"18404,""50"",""montmartin-sur-mer"",""MONTMARTIN-SUR-MER"",""montmartin sur mer"",""Montmartin-sur-Mer"",""M356352656"",""MNTMRTNSRMR"",""50590"",""349"",""50349"",""3"",""23"",""5"",""1309"",""1094"",""1300"",""133"",""9.81"",""-1.51667"",""48.9833"",""-4290"",""54432"",""-13129"",""485919"",""2"",""60"""
"18405,""50"",""dangy"",""DANGY"",""dangy"",""Dangy"",""D520"",""TNJ"",""50750"",""159"",""50159"",""4"",""08"",""6"",""651"",""603"",""700"",""65"",""9.93"",""-1.21667"",""49.05"",""-3957"",""54494"",""-11329"",""490242"",""70"",""161"""
"18406,""50"",""agon-coutainville"",""AGON-COUTAINVILLE"",""agon coutainville"",""Agon-Coutainville"",""A2523514"",""AKNKTNFL"",""50230"",""003"",""50003"",""3"",""36"",""6"",""2834"",""2724"",""2800"",""229"",""12.35"",""-1.575"",""49.0417"",""-4348"",""54492"",""-13436"",""490232"",""0"",""49"""
"18407,""50"",""senoville"",""SENOVILLE"",""senoville"",""S̩noville"",""S514"",""SNFL"",""50270"",""572"",""50572"",""2"",""03"",""6"",""214"",""179"",""200"",""29"",""7.22"",""-1.76667"",""49.4333"",""-4574"",""54926"",""-14650"",""492601"",""34"",""121"""
"18408,""50"",""glatigny-50"",""GLATIGNY"",""glatigny"",""Glatigny"",""G4325"",""KLTKN"",""50250"",""204"",""50204"",""3"",""16"",""6"",""144"",""144"",""200"",""28"",""4.99"",""-1.63333"",""49.2833"",""-4407"",""54753"",""-13749"",""491638"",""5"",""34"""
"18409,""50"",""beaucoudray"",""BEAUCOUDRAY"",""beaucoudray"",""Beaucoudray"",""B236"",""BKTR"",""50420"",""039"",""50039"",""4"",""45"",""6"",""154"",""129"",""200"",""32"",""4.7"",""-1.13333"",""48.9667"",""-3865"",""54398"",""-10831"",""485731"",""84"",""204"""
"18410,""50"",""haye-d-ectot"",""LA HAYE-D'ECTOT"",""la haye d ectot"",""La Haye-d'Ectot"",""L323"",""LHYTKTT"",""50270"",""235"",""50235"",""2"",""03"",""6"",""245"",""195"",""200"",""33"",""7.32"",""-1.73333"",""49.3833"",""-4520"",""54880"",""-14354"",""492331"",""12"",""125"""
"18411,""50"",""montbray"",""MONTBRAY"",""montbray"",""Montbray"",""M316"",""MNTBR"",""50410"",""338"",""50338"",""4"",""26"",""6"",""362"",""407"",""400"",""25"",""14.04"",""-1.1"",""48.8833"",""-3813"",""54311"",""-10544"",""485249"",""79"",""266"""
"18412,""50"",""tanu"",""LE TANU"",""le tanu"",""Le Tanu"",""L350"",""LTN"",""50320"",""590"",""50590"",""1"",""17"",""6"",""353"",""274"",""300"",""34"",""10.12"",""-1.35"",""48.8167"",""-4091"",""54241"",""-12043"",""484859"",""68"",""166"""
"18413,""50"",""saint-hilaire-petitville"",""SAINT-HILAIRE-PETITVILLE"",""saint hilaire petitville"",""Saint-Hilaire-Petitville"",""S53461314"",""SNTHLRPTTFL"",""50500"",""485"",""50485"",""4"",""09"",""6"",""1362"",""1389"",""1400"",""136"",""9.99"",""-1.23333"",""49.3"",""-3960"",""54782"",""-11340"",""491814"",""0"",""31"""
"18414,""50"",""saint-patrice-de-claids"",""SAINT-PATRICE-DE-CLAIDS"",""saint patrice de claids"",""Saint-Patrice-de-Claids"",""S53136232432"",""SNTPTRSTKLTS"",""50190"",""533"",""50533"",""3"",""20"",""6"",""157"",""163"",""200"",""28"",""5.58"",""-1.43333"",""49.2333"",""-4193"",""54700"",""-12613"",""491348"",""9"",""34"""
"18415,""50"",""jobourg"",""JOBOURG"",""jobourg"",""Jobourg"",""J162"",""JBRK"",""50440"",""257"",""50257"",""2"",""04"",""6"",""501"",""377"",""400"",""49"",""10.15"",""-1.90375"",""49.6833"",""-4711"",""55203"",""-15414"",""494058"",""0"",""181"""
"18416,""50"",""hauteville-sur-mer"",""HAUTEVILLE-SUR-MER"",""hauteville sur mer"",""Hauteville-sur-Mer"",""H3142656"",""HTFLSRMR"",""50590"",""231"",""50231"",""3"",""23"",""6"",""656"",""619"",""600"",""198"",""3.31"",""-1.53333"",""48.9833"",""-4307"",""54418"",""-13224"",""485834"",""0"",""48"""
"18417,""50"",""picauville"",""PICAUVILLE"",""picauville"",""Picauville"",""P214"",""PKFL"",""50360"",""400"",""50400"",""2"",""37"",""6"",""1934"",""1986"",""2000"",""101"",""19.1"",""-1.4"",""49.3833"",""-4171"",""54866"",""-12503"",""492247"",""2"",""30"""
"18418,""50"",""saint-martin-de-cenilly"",""SAINT-MARTIN-DE-CENILLY"",""saint martin de cenilly"",""Saint-Martin-de-Cenilly"",""S5356353254"",""SNTMRTNTSNL"",""50210"",""513"",""50513"",""3"",""10"",""6"",""202"",""206"",""200"",""29"",""6.76"",""-1.28333"",""48.9833"",""-4020"",""54425"",""-11654"",""485856"",""74"",""136"""
"18419,""50"",""mobecq"",""MOBECQ"",""mobecq"",""Mobecq"",""M120"",""MBKK"",""50250"",""330"",""50330"",""3"",""16"",""6"",""251"",""208"",""300"",""31"",""7.99"",""-1.51667"",""49.2667"",""-4282"",""54747"",""-13104"",""491621"",""32"",""110"""
"18420,""50"",""guilberville"",""GUILBERVILLE"",""guilberville"",""Guilberville"",""G41614"",""KLBRFL"",""50160"",""224"",""50224"",""4"",""46"",""6"",""994"",""821"",""900"",""44"",""22.15"",""-0.95"",""48.9833"",""-3649"",""54431"",""-05651"",""485918"",""70"",""262"""
"18421,""50"",""meauffe"",""LA MEAUFFE"",""la meauffe"",""La Meauffe"",""L510"",""LMF"",""50880"",""297"",""50297"",""4"",""31"",""6"",""1081"",""1035"",""1100"",""105"",""10.22"",""-1.11667"",""49.1833"",""-3830"",""54640"",""-10640"",""491035"",""4"",""87"""
