departement,NOM,CodePostal,Nimero Commune,Code INSEE,Arrondissement,Population2010,Population1999,Densité,Superficie,Longitude,Latitude,Altitude minimale,Altitude Maximale
50,LES PIEUX,50340,402,50402,2,3558,3474,233,15.25,,49.5167,5,132
50,SAINT-PIERRE EGLISE,50330,539,50539,2,1785,1796,221,8.06,,49.6667,4,138
50,LA GLACERIE,50470,203,50203,2,5501,5403,294,18.7,,49.6,5,178
50,SAINT-LO,5000,502,50502,4,18718,20081,807,23.19,,49.1167,7,134
50,CHERBOURG,50100,129,50129,2,38433,25337,2695,14.26,,49.65,0,139
